"PointID","OSEWellID","OSEWelltagID","HoleDepth","WellDepth","CasingDiameter","CasingDepth","CasingDescription","FormationZone","Meaning"
"NM-07858","","","","","","","","","Irrigation"
"NM-27320","","","240","239","","","","110BLSN","Observation"
"QU-067","RG-82658","","575","575","0.4000000059604645","","","","Open, unequipped well"
"NM-03361","","","","1704","","","","","Public supply"
"NM-03461","","","","136","","","","","Irrigation"
"NM-02350","","","","200","","","","110AVMB","Irrigation"
"NM-13502","","","","","","","","313ARTS","Unused"
"NM-09298","","","","80","","","","","Irrigation"
"NM-19605","","","","495","","","","121OGLL","Irrigation"
"QY-0080","","","184","184","0.4166666567325592","","","231CHNL","Livestock"
"QU-037","RG-76554","","572","572","0.550000011920929","572","","","Shared domestic"
"NM-14475","","","","498","","","","313SADR","Livestock"
"NM-18238","","","","190","","","","231CHNL","Livestock"
"NM-07515","","","350","","","","","110AVMB","Irrigation"
"NM-07147","","","","62","","","","","Observation"
"NM-18797","","","","","","","","110AVMB","Unused"
"NM-07789","","","","","","","","","Irrigation"
"NM-09071","","","","","","","","","Unused"
"NM-03161","","","","126","","","","231SNRS","Livestock"
"NM-15871","","","","100","","","","","Irrigation"
"NM-09268","","","","142","","","","110AVMB","Domestic"
"NM-13762","","","","","","","","121OGLL","Irrigation"
"NM-25700","","","172","169","","","","110AVMB","Domestic"
"NM-09482","","","","","","","","","Livestock"
"NM-22449","","","","240","","","","","Unused"
"NM-03881","","","244","244","","","","110AVMB","Livestock"
"NM-12125","","","90","90","","","","110AVMB","Domestic"
"NM-22480","","","185","185","","","","211MVRD","Public supply"
"SO-0252","X","","55","18","0.17000000178813934","","","","Observation"
"QY-0416","","","7","7","4","","","110ALVM","Unknown"
"NM-12264","","","","122","","","","121OGLL","Irrigation"
"TB-0136","T-00490 S3","","150","150","1.159999966621399","147","","112QTBF","Open, unequipped well"
"NM-00509","","","1112","1000","","","","112SNTF","Unused"
"NM-23524","","","","180","","","","","Domestic"
"NM-24298","","","","70","","","","","Unused"
"NM-20946","","","","","","","","110AVMB","Irrigation"
"NM-13257","","","","132","","","","110AVMB","Domestic"
"NM-22005","","","","","","","","","Irrigation"
"NM-27566","","","","","","","","121OGLL","Unused"
"MI-0118","","","","80","0.5","","","231CHNL","Shared domestic"
"QY-0666","","","26","26","0.4166666567325592","","","110ALVM","Livestock"
"NM-11707","","","","","","","","110AVMB","Unused"
"NM-20466","","","","","","","","","Livestock"
"NM-01131","","","123","123","","","","112SNTF","Livestock"
"NM-10172","","","","822","","","","313SADR","Unused"
"NM-03632","","","","","","","","121OGLL","Irrigation"
"TC-282","CO-06747 F","","223","223","","","","","Irrigation"
"NM-07676","","","","","","","","110AVMB","Unused"
"NM-13440","","","","105","","","","121OGLL","Unused"
"NM-05924","","","431","","","","","","Irrigation"
"NM-09623","","","","125","","","","","Livestock"
"NM-10970","","","","976","","","","313SADR","Unused"
"NM-00406","","","","90","","","","121OGLL","Unused"
"NM-05405","","","","","","","","","Irrigation"
"NM-26044","","","","53","","","","","Domestic"
"NM-15971","","","","","","","","110AVMB","Irrigation"
"NM-24781","RG-02371","","","105","0.4699999988079071","105","","112ANCH","Domestic"
"NM-19857","","","","370","","","","211DKOT","Unused"
"SA-0219","RG-57948","","350","350","","","","112QTBFppm","Livestock"
"NM-05650","","","","","","","","","Livestock"
"NM-14537","","","","185","","","","121OGLL","Domestic"
"NM-09756","","","","202","","","","","Livestock"
"NM-07480","","","","250","","","","231CHNL","Livestock"
"NM-05857","","","","","","","","","Irrigation"
"NM-08528","","","75","75","","","","110AVMB","Irrigation"
"NM-00993","","","","112","","","","","Livestock"
"NM-21711","","","170","150","","","","","Observation"
"NM-21495","","","","164","","","","313SADG","Livestock"
"NM-13717","","","","85","","","","110AVMB","Irrigation"
"NM-09629","","","","138","","","","121OGLL","Irrigation"
"NM-15186","","","","192","","","","313ARTS","Livestock"
"NM-06810","","","","250","","","","313CPTN","Domestic"
"NM-25554","","","","72","","","","","Domestic"
"NM-22531","","","176","176","","","","231SNRS","Domestic"
"NM-27087","","","","240","","","","","Domestic"
