"PointID","SiteType","Easting","Northing","PublicRelease"
"NM-20880","GW","221511","3859170","false"
"NM-19731","GW","658821","3833020","false"
"NM-18401","GW","672220","3807000","false"
"ED-0302","GW","589766","3574820","true"
"EB-463","GW","418467","3960683","true"
"BW-0629","SP","397976","3705640","true"
"NM-25570","GW","304417","3983290","false"
"NM-19625","GW","597879","3830040","false"
"NM-06652","GW","339895","3586920","false"
"NM-18352","GW","606117","3804590","false"
"PC-135","SP","369070","3906280","true"
"BC-0434","GW","346492","3876184","false"
"NM-00525","GW","655842","3652040","false"
"NM-10519","GW","548562","3644430","false"
"NM-23889","GW","458938","3918210","false"
"NM-22097","GW","269299","3885710","false"
"NM-22303","GW","345797","3886130","false"
"NM-28197","GW","157726","4048950","false"
"NM-10511","GW","668802","3645910","false"
"NM-12138","GW","673369","3671100","false"
"QY-0263","GW","611527","3895020","true"
"NM-13326","GW","549348","3689360","false"
"NM-17250","GW","643326","3785400","false"
"NM-03642","GW","608274","4033650","false"
"NM-10359","GW","558262","3642170","false"
"EB-556","GW","407672","3944472","true"
"DE-0241","GW","670561","3569891","false"
"NM-16860","GW","232678","3782070","false"
"TV-230","GW","439362","4016255","true"
"AB-0082","GW","325521","3905140","true"
"MI-0282","GW","518518","3957748","true"
"NM-19354","GW","678411","3826470","false"
"TV-170","GW","440310","4026257","true"
"NM-24235","GW","476401","3931330","false"
"NM-21867","GW","348895","3881630","false"
"NM-12103","GW","557873","3668500","false"
"NM-14458","GW","665370","3707070","false"
"NM-19987","GW","531613","3835220","false"
"NM-10897","GW","671135","3650660","false"
"NM-26408","GW","280554","4062220","false"
"NM-27765","GW","571355","3794530","false"
"UC-0035","GW","668819","4048768","true"
"MI-0093","GW","475669","3917159","true"
"AR-0077","GW","238501","4087240","true"
"NM-23709","GW","427308","3912030","false"
"NM-20297","GW","536986","3841000","false"
"NM-06587","GW","226696","3588340","false"
"NM-14414","GW","545041","3703760","false"
"TV-241","GW","440929","4019847","true"
"NM-19434","GW","652414","3827610","false"
"NM-00182","GW","583077","3573840","false"
"SD-0387","SP","366775","3907110","true"
"NM-10520","GW","399661","3644820","false"
"NM-09028","GW","196691","3629730","false"
"NM-23144","GW","350423","3896790","false"
"NM-08929","GW","229103","3627840","false"
"NM-20855","GW","553416","3854690","false"
"NM-24029","GW","402252","3924720","false"
"NM-27383","GW","287311","3624630","false"
"ED-0173","GW","557707","3581190","true"
"TB-0220","GW","420020","3719507","true"
"NM-07823","GW","202174","3612660","false"
"NM-09785","GW","551735","3633640","false"
"NM-26304","GW","635568","4043190","false"
"ED-0125","GW","571395","3589660","true"
"NM-05281","GW","135184","3568570","false"
"NM-09747","GW","557510","3633110","false"
