"WellID","WDBID","PointID","counter","ScreenTop","ScreenBottom","ScreenDescription","OBJECTID","GlobalID","SSMA_TimeStamp"
"6188B6BB-6FD3-456C-81CA-C75017676C9B","","NM-26885","0","555","570","","4932","34C57304-1F39-4814-90C6-5A287138CA12","0x00000000002C4C78"
"C3CD5B8B-FD05-4E79-A695-1C8BE35C66EC","","NM-04691","0","510","590","","3870","A96CA381-1F8E-43B3-AEAF-5A3698A76D71","0x00000000002C4C79"
"09AF00A7-4AE6-4A81-8DE6-885C6C88D62B","155","EB-154","0","310","340","","187","4F14ADFE-0C17-4602-BBD6-5A455D181AF7","0x00000000002C4C7A"
"AAF57725-FD59-AC4D-9F1D-48E00E6D79D5","","PC-077","0","640","660","","5375","DC4E85C2-6994-6E40-A4E5-5A484D6951B5","0x00000000002C4C7B"
"15434E3C-06AA-4133-8074-67E5EF235624","","SV-0107","0","340","350","","3405","93754025-EF85-494F-95DD-5A4DDBB976D1","0x00000000002C4C7C"
"B2841326-F31C-4431-AEBB-CE9970C65C82","","AR-0161","0","16","28","","3092","D7454548-D24C-4FEE-9A2F-5A4E4F312432","0x00000000002C4C7D"
"DC04A343-5C2C-4C75-B9C3-A93195DCDC30","","NM-26798","0","4278","4285","","2871","6267F325-E9E8-48E9-A5D3-5A564217B5B0","0x00000000002C4C7E"
"84D25B30-0305-4F08-A913-7EAD0EB6FB4F","134","TV-114","0","340","380","","1051","A4E62FBF-B72A-4C69-B6FD-5A6738C94F43","0x00000000002C4C7F"
"7A34736F-0182-40AE-A684-8196750AF52C","","SV-0062","0","380","400","","5191","1F0EFC5A-DBA5-D944-B6A4-5A78F8864E76","0x00000000002C4C80"
"87D69615-1091-4C8D-9AD5-DB0149DC9A58","474","EB-469","0","500","580","","542","73EB5911-101E-427E-9BAB-5A8DD60409A9","0x00000000002C4C81"
"405D7B0A-1A4B-400C-BB13-F4734CB35C17","33405","EB-687","0","639","660","","737","819EB836-9110-4297-8B41-5AA15C05A06B","0x00000000002C4C82"
"4E5A318A-2C00-4351-8FFA-CDE4F776298C","246","EB-242","0","140","160","","299","9C088930-CDAF-41E6-8DC3-5AAB37CD46ED","0x00000000002C4C83"
"E63D3D8F-C471-4699-92A2-45BAC2E1814E","","NM-01417","0","89","88","","3044","33DEBE32-A894-4FF7-9318-5AB1E977D47F","0x00000000002C4C84"
"46F5509D-8265-4E4B-8435-6F4AE91D9386","","NM-08300","0","17","67","","3897","DD4FB1E9-0A6A-47A8-B4E2-5AE31ABB6487","0x00000000002C4C85"
"B7ECF8B7-D787-404A-9DE4-6FF476505226","","WL-0080","0","800","880","","5309","2A367147-56C2-3F4C-91D5-5AE61043D19E","0x00000000002C4C86"
